country,year,attack_type,target_industry,financial_loss_million,affected_users,attack_source,vulnerability_type,defense_mechanism,resolution_time_hours,loss_per_user,cluster_id,risk_profile
USA,2016,Phishing,IT,92.53,219826,Nation-state,Social Engineering,Antivirus,38.0,420.92382156796737,2,Critical High-Impact Incidents
USA,2015,SQL Injection,Telecommunications,88.6,916744,Nation-state,Social Engineering,Antivirus,47.0,96.64639201347377,2,Critical High-Impact Incidents
USA,2017,Man-in-the-Middle,IT,30.4,568560,Hacker Group,Zero-day,AI-based Detection,49.0,53.468411425355285,2,Critical High-Impact Incidents
UK,2019,Malware,Education,90.7,440178,Insider,Unpatched Software,VPN,15.0,206.0530058294599,0,High-Impact Rapid-Response Incidents
Japan,2023,SQL Injection,Healthcare,45.38,172628,Insider,Weak Passwords,Encryption,4.0,262.8774011168524,0,High-Impact Rapid-Response Incidents
USA,2022,Ransomware,Government,71.33,257989,Unknown,Unpatched Software,AI-based Detection,68.0,276.48465632255636,2,Critical High-Impact Incidents
Japan,2021,Phishing,Healthcare,9.42,573560,Hacker Group,Social Engineering,Antivirus,9.0,16.423739451844618,1,Widespread Low-Loss Incidents
Brazil,2018,Malware,Education,5.27,850056,Hacker Group,Weak Passwords,VPN,65.0,6.199591556320995,1,Widespread Low-Loss Incidents
Australia,2018,DDoS,Retail,41.59,860119,Nation-state,Unpatched Software,Encryption,30.0,48.35377430332314,0,High-Impact Rapid-Response Incidents
USA,2015,SQL Injection,Education,98.78,140958,Insider,Social Engineering,AI-based Detection,51.0,700.7761177088211,2,Critical High-Impact Incidents
China,2015,DDoS,Telecommunications,61.24,965727,Nation-state,Zero-day,AI-based Detection,32.0,63.41336630331346,0,High-Impact Rapid-Response Incidents
Russia,2015,Malware,Telecommunications,69.34,20269,Unknown,Social Engineering,VPN,36.0,3420.987715230154,3,Concentrated High-Cost Incidents
Germany,2015,DDoS,Retail,7.84,323011,Nation-state,Social Engineering,Encryption,25.0,24.271619232781546,1,Widespread Low-Loss Incidents
USA,2016,Ransomware,Retail,57.17,50321,Nation-state,Social Engineering,Antivirus,25.0,1136.1061982075078,3,Concentrated High-Cost Incidents
Russia,2020,DDoS,Banking,33.99,851863,Insider,Weak Passwords,Firewall,25.0,39.90078216802467,0,High-Impact Rapid-Response Incidents
China,2024,DDoS,IT,22.45,704925,Unknown,Unpatched Software,AI-based Detection,52.0,31.847359648189524,2,Critical High-Impact Incidents
France,2018,Ransomware,Banking,27.78,355077,Nation-state,Unpatched Software,VPN,65.0,78.23655150854603,2,Critical High-Impact Incidents
Australia,2022,Malware,Education,47.12,866057,Unknown,Social Engineering,Antivirus,17.0,54.40750435594886,0,High-Impact Rapid-Response Incidents
Germany,2016,SQL Injection,Telecommunications,48.77,169455,Insider,Zero-day,Antivirus,23.0,287.8050219822372,0,High-Impact Rapid-Response Incidents
India,2023,SQL Injection,IT,92.35,380022,Unknown,Unpatched Software,Encryption,30.0,243.01224665940393,0,High-Impact Rapid-Response Incidents
USA,2019,SQL Injection,Retail,88.98,898679,Insider,Zero-day,Firewall,35.0,99.01199427159197,0,High-Impact Rapid-Response Incidents
Japan,2020,Ransomware,IT,61.69,704157,Unknown,Zero-day,Antivirus,42.0,87.6083032619146,2,Critical High-Impact Incidents
Russia,2022,Malware,Telecommunications,84.57,262201,Nation-state,Weak Passwords,Encryption,54.0,322.5388156414354,2,Critical High-Impact Incidents
Brazil,2021,DDoS,Telecommunications,67.87,683261,Hacker Group,Unpatched Software,Antivirus,13.0,99.33246592444176,0,High-Impact Rapid-Response Incidents
USA,2022,Phishing,IT,59.7,382379,Nation-state,Unpatched Software,Firewall,2.0,156.12782082698055,0,High-Impact Rapid-Response Incidents
Germany,2024,Phishing,Government,90.21,510657,Nation-state,Social Engineering,VPN,62.0,176.6547800186818,2,Critical High-Impact Incidents
UK,2018,SQL Injection,Education,16.23,912558,Nation-state,Unpatched Software,Antivirus,69.0,17.78517091516375,2,Critical High-Impact Incidents
UK,2020,Ransomware,Banking,16.91,952504,Hacker Group,Zero-day,AI-based Detection,45.0,17.753206285747883,1,Widespread Low-Loss Incidents
France,2015,Phishing,Government,41.88,913027,Insider,Unpatched Software,Antivirus,68.0,45.86939926201525,2,Critical High-Impact Incidents
Brazil,2019,Malware,Government,31.04,269271,Insider,Unpatched Software,Antivirus,58.0,115.27420331190511,2,Critical High-Impact Incidents
India,2016,Ransomware,Healthcare,37.12,113404,Hacker Group,Social Engineering,Antivirus,11.0,327.3253148037106,0,High-Impact Rapid-Response Incidents
Russia,2023,DDoS,Healthcare,46.2,310868,Hacker Group,Weak Passwords,Antivirus,10.0,148.61613289241737,0,High-Impact Rapid-Response Incidents
Japan,2024,Man-in-the-Middle,Telecommunications,98.3,458630,Insider,Social Engineering,Antivirus,14.0,214.3339947234154,0,High-Impact Rapid-Response Incidents
USA,2024,Ransomware,IT,16.61,912183,Unknown,Weak Passwords,Encryption,44.0,18.209065505496156,1,Widespread Low-Loss Incidents
Brazil,2017,Man-in-the-Middle,IT,71.06,871891,Unknown,Social Engineering,Antivirus,52.0,81.50101331473773,2,Critical High-Impact Incidents
USA,2016,SQL Injection,Government,14.17,863298,Nation-state,Unpatched Software,VPN,15.0,16.413799174792484,1,Widespread Low-Loss Incidents
Australia,2018,Malware,Healthcare,82.65,434626,Unknown,Social Engineering,AI-based Detection,29.0,190.16349689158034,0,High-Impact Rapid-Response Incidents
Australia,2018,Ransomware,IT,78.27,195490,Unknown,Zero-day,Antivirus,63.0,400.3785359864955,2,Critical High-Impact Incidents
UK,2022,Ransomware,Retail,10.44,19404,Nation-state,Unpatched Software,Firewall,32.0,538.0333951762523,3,Concentrated High-Cost Incidents
Russia,2019,Ransomware,Healthcare,21.95,217438,Hacker Group,Social Engineering,Firewall,14.0,100.94831630165841,0,High-Impact Rapid-Response Incidents
India,2018,Malware,Healthcare,30.83,481452,Unknown,Weak Passwords,AI-based Detection,57.0,64.03545940197569,2,Critical High-Impact Incidents
UK,2020,SQL Injection,Education,35.57,386093,Unknown,Unpatched Software,VPN,42.0,92.1280624098339,2,Critical High-Impact Incidents
France,2019,Man-in-the-Middle,Banking,28.29,929020,Nation-state,Weak Passwords,Antivirus,2.0,30.451443456545608,0,High-Impact Rapid-Response Incidents
USA,2022,Malware,IT,4.06,863756,Nation-state,Unpatched Software,AI-based Detection,66.0,4.700401502276105,1,Widespread Low-Loss Incidents
China,2018,Ransomware,Telecommunications,58.28,300898,Nation-state,Unpatched Software,Encryption,18.0,193.68689722098517,0,High-Impact Rapid-Response Incidents
Japan,2017,SQL Injection,Healthcare,7.31,191328,Insider,Weak Passwords,Encryption,51.0,38.20663990633885,1,Widespread Low-Loss Incidents
Germany,2021,Man-in-the-Middle,Banking,37.69,361849,Hacker Group,Zero-day,Firewall,63.0,104.15946983410207,2,Critical High-Impact Incidents
Brazil,2016,Phishing,Retail,27.99,30884,Nation-state,Unpatched Software,Antivirus,26.0,906.2945214350473,3,Concentrated High-Cost Incidents
Brazil,2024,Ransomware,IT,71.55,902924,Unknown,Social Engineering,Encryption,12.0,79.2425497605557,0,High-Impact Rapid-Response Incidents
Brazil,2024,Man-in-the-Middle,Telecommunications,27.13,943178,Nation-state,Weak Passwords,VPN,63.0,28.7644537934515,2,Critical High-Impact Incidents
Australia,2021,SQL Injection,Telecommunications,10.28,994468,Insider,Unpatched Software,Antivirus,8.0,10.337185309130108,1,Widespread Low-Loss Incidents
China,2022,Phishing,Retail,31.35,131361,Insider,Weak Passwords,Firewall,39.0,238.65530865325326,3,Concentrated High-Cost Incidents
China,2023,Malware,Telecommunications,80.1,237658,Unknown,Zero-day,Antivirus,26.0,337.0389383063057,0,High-Impact Rapid-Response Incidents
USA,2017,Ransomware,Banking,42.19,157313,Hacker Group,Unpatched Software,Antivirus,47.0,268.19143999542314,2,Critical High-Impact Incidents
UK,2021,Man-in-the-Middle,Education,40.98,414340,Insider,Unpatched Software,AI-based Detection,10.0,98.90428150794034,0,High-Impact Rapid-Response Incidents
France,2020,DDoS,Healthcare,58.8,153523,Insider,Social Engineering,Encryption,22.0,383.0045009542544,0,High-Impact Rapid-Response Incidents
UK,2019,Phishing,IT,3.33,232665,Unknown,Social Engineering,AI-based Detection,65.0,14.312423441428663,1,Widespread Low-Loss Incidents
Germany,2022,Phishing,Government,58.98,383945,Nation-state,Zero-day,Encryption,49.0,153.61575225618253,2,Critical High-Impact Incidents
Brazil,2023,Ransomware,Government,4.6,762006,Unknown,Weak Passwords,Antivirus,21.0,6.036697873770023,1,Widespread Low-Loss Incidents
Germany,2019,SQL Injection,Government,96.91,408103,Nation-state,Unpatched Software,Firewall,27.0,237.46456164252652,0,High-Impact Rapid-Response Incidents
France,2022,Phishing,Healthcare,85.91,44837,Unknown,Zero-day,AI-based Detection,18.0,1916.0514753440239,3,Concentrated High-Cost Incidents
Germany,2023,DDoS,Telecommunications,51.49,642699,Unknown,Social Engineering,Firewall,51.0,80.11526391047754,2,Critical High-Impact Incidents
UK,2021,Ransomware,Telecommunications,3.99,634820,Insider,Unpatched Software,Encryption,33.0,6.285246211524527,1,Widespread Low-Loss Incidents
France,2021,Malware,Retail,3.44,887718,Insider,Zero-day,Antivirus,55.0,3.8751044813780955,1,Widespread Low-Loss Incidents
USA,2020,DDoS,Education,52.7,541631,Unknown,Zero-day,AI-based Detection,30.0,97.29871443842764,0,High-Impact Rapid-Response Incidents
USA,2016,Ransomware,Retail,11.58,523522,Unknown,Weak Passwords,Encryption,57.0,22.119414274853778,1,Widespread Low-Loss Incidents
Russia,2021,DDoS,Government,91.69,686309,Unknown,Unpatched Software,Antivirus,42.0,133.59871428175938,2,Critical High-Impact Incidents
India,2015,Man-in-the-Middle,Education,79.89,416328,Nation-state,Zero-day,Encryption,55.0,191.8919697930478,2,Critical High-Impact Incidents
India,2021,Man-in-the-Middle,IT,53.49,582718,Hacker Group,Social Engineering,Encryption,20.0,91.79397238458397,0,High-Impact Rapid-Response Incidents
Japan,2021,Man-in-the-Middle,Telecommunications,18.91,549640,Nation-state,Social Engineering,Encryption,17.0,34.404337384469834,0,High-Impact Rapid-Response Incidents
USA,2024,DDoS,Retail,15.34,1068,Insider,Social Engineering,Firewall,3.0,14363.295880149813,3,Concentrated High-Cost Incidents
France,2018,DDoS,Telecommunications,12.72,959835,Unknown,Zero-day,Firewall,38.0,13.252277735235744,1,Widespread Low-Loss Incidents
USA,2024,Ransomware,Retail,46.59,227390,Insider,Weak Passwords,AI-based Detection,40.0,204.8902766172655,2,Critical High-Impact Incidents
France,2021,SQL Injection,Banking,62.9,577763,Insider,Zero-day,AI-based Detection,43.0,108.86816912817193,2,Critical High-Impact Incidents
Japan,2018,SQL Injection,Healthcare,85.33,786644,Nation-state,Unpatched Software,Antivirus,41.0,108.47346448965479,2,Critical High-Impact Incidents
China,2016,Malware,Healthcare,85.15,454802,Insider,Unpatched Software,Antivirus,48.0,187.22433058781624,2,Critical High-Impact Incidents
China,2024,DDoS,Healthcare,53.53,371685,Unknown,Social Engineering,VPN,34.0,144.0198017138168,0,High-Impact Rapid-Response Incidents
India,2023,Ransomware,Retail,4.32,217534,Unknown,Unpatched Software,VPN,48.0,19.858964575652543,1,Widespread Low-Loss Incidents
Australia,2024,Man-in-the-Middle,Telecommunications,31.68,376612,Nation-state,Unpatched Software,VPN,27.0,84.11840302486378,0,High-Impact Rapid-Response Incidents
UK,2020,Phishing,Banking,84.77,812206,Hacker Group,Unpatched Software,Encryption,39.0,104.37007360201723,2,Critical High-Impact Incidents
Australia,2021,Man-in-the-Middle,Banking,82.87,255967,Unknown,Social Engineering,VPN,23.0,323.7526712427774,0,High-Impact Rapid-Response Incidents
USA,2023,DDoS,Healthcare,5.32,463332,Unknown,Weak Passwords,Encryption,16.0,11.482047430352317,1,Widespread Low-Loss Incidents
Australia,2023,DDoS,IT,31.48,771547,Hacker Group,Zero-day,Antivirus,5.0,40.80114367627636,0,High-Impact Rapid-Response Incidents
UK,2020,DDoS,Retail,86.0,809209,Unknown,Social Engineering,Encryption,26.0,106.27662322094787,0,High-Impact Rapid-Response Incidents
India,2024,DDoS,Retail,35.47,342575,Insider,Social Engineering,Firewall,49.0,103.53937094066993,2,Critical High-Impact Incidents
Japan,2024,Phishing,Retail,94.75,478963,Insider,Zero-day,VPN,70.0,197.82321390170014,2,Critical High-Impact Incidents
USA,2017,SQL Injection,Banking,39.59,910393,Unknown,Weak Passwords,Antivirus,52.0,43.486713979567064,2,Critical High-Impact Incidents
Australia,2024,Phishing,Banking,70.52,601198,Insider,Zero-day,Encryption,41.0,117.29912607826374,2,Critical High-Impact Incidents
UK,2018,Ransomware,Government,6.6,152302,Hacker Group,Social Engineering,AI-based Detection,26.0,43.33495292248296,1,Widespread Low-Loss Incidents
USA,2016,SQL Injection,Healthcare,25.85,79102,Nation-state,Zero-day,AI-based Detection,4.0,326.79325427928495,3,Concentrated High-Cost Incidents
India,2017,Ransomware,Retail,80.93,837506,Nation-state,Zero-day,Antivirus,8.0,96.63214353091202,0,High-Impact Rapid-Response Incidents
Germany,2018,Malware,Banking,63.81,347441,Hacker Group,Social Engineering,Firewall,58.0,183.6570813461854,2,Critical High-Impact Incidents
USA,2021,Ransomware,Telecommunications,3.63,231198,Insider,Unpatched Software,Encryption,42.0,15.700827861832714,1,Widespread Low-Loss Incidents
Brazil,2016,DDoS,Government,80.09,555275,Unknown,Social Engineering,Antivirus,71.0,144.2348385934897,2,Critical High-Impact Incidents
UK,2016,SQL Injection,Retail,24.51,46699,Unknown,Zero-day,Antivirus,53.0,524.8506391999829,3,Concentrated High-Cost Incidents
UK,2024,Man-in-the-Middle,IT,56.23,706469,Unknown,Unpatched Software,Encryption,17.0,79.59301823576124,0,High-Impact Rapid-Response Incidents
China,2018,Ransomware,IT,43.73,311165,Unknown,Social Engineering,AI-based Detection,34.0,140.53637137852908,0,High-Impact Rapid-Response Incidents
France,2019,SQL Injection,Government,85.13,304257,Nation-state,Weak Passwords,Antivirus,20.0,279.7963563697795,0,High-Impact Rapid-Response Incidents
Brazil,2017,SQL Injection,Telecommunications,24.05,446378,Insider,Unpatched Software,Antivirus,59.0,53.87810331154313,2,Critical High-Impact Incidents
China,2021,Ransomware,Healthcare,32.72,994243,Hacker Group,Social Engineering,Firewall,54.0,32.90945975983738,2,Critical High-Impact Incidents
UK,2015,Phishing,Healthcare,81.75,98634,Unknown,Social Engineering,VPN,5.0,828.8217044832411,0,High-Impact Rapid-Response Incidents
USA,2018,Phishing,Telecommunications,42.46,93999,Nation-state,Social Engineering,Encryption,65.0,451.70693305247926,3,Concentrated High-Cost Incidents
France,2017,SQL Injection,Education,14.54,171095,Hacker Group,Zero-day,AI-based Detection,63.0,84.98202752856601,1,Widespread Low-Loss Incidents
USA,2015,Man-in-the-Middle,IT,38.92,820182,Nation-state,Weak Passwords,Antivirus,16.0,47.45288240902629,0,High-Impact Rapid-Response Incidents
Germany,2018,SQL Injection,Telecommunications,4.2,164890,Insider,Weak Passwords,Encryption,61.0,25.471526472193585,1,Widespread Low-Loss Incidents
China,2015,SQL Injection,Telecommunications,75.91,605020,Insider,Unpatched Software,Antivirus,43.0,125.4669267131665,2,Critical High-Impact Incidents
Australia,2024,Ransomware,Education,44.95,500747,Insider,Unpatched Software,AI-based Detection,58.0,89.76588976069752,2,Critical High-Impact Incidents
Japan,2020,Man-in-the-Middle,IT,35.79,854904,Insider,Weak Passwords,Firewall,12.0,41.864349681367734,0,High-Impact Rapid-Response Incidents
China,2020,SQL Injection,Healthcare,62.44,55719,Unknown,Unpatched Software,Firewall,71.0,1120.623126761069,3,Concentrated High-Cost Incidents
Brazil,2015,Phishing,Retail,19.93,355008,Hacker Group,Unpatched Software,Antivirus,31.0,56.139579953127814,1,Widespread Low-Loss Incidents
UK,2019,Phishing,IT,75.31,428615,Unknown,Social Engineering,AI-based Detection,66.0,175.70546994388903,2,Critical High-Impact Incidents
Australia,2015,Phishing,Healthcare,76.4,108767,Nation-state,Unpatched Software,VPN,48.0,702.4189322128955,3,Concentrated High-Cost Incidents
India,2020,Man-in-the-Middle,IT,28.69,939469,Insider,Unpatched Software,Encryption,45.0,30.53852761506766,2,Critical High-Impact Incidents
UK,2019,Man-in-the-Middle,Government,23.93,325827,Nation-state,Zero-day,Antivirus,39.0,73.44388279669886,1,Widespread Low-Loss Incidents
UK,2017,Man-in-the-Middle,Education,30.44,996762,Hacker Group,Social Engineering,AI-based Detection,27.0,30.53888490933643,0,High-Impact Rapid-Response Incidents
Japan,2017,Phishing,IT,5.14,319868,Hacker Group,Unpatched Software,VPN,52.0,16.06912851551265,1,Widespread Low-Loss Incidents
Brazil,2018,Man-in-the-Middle,Banking,1.01,66191,Hacker Group,Weak Passwords,AI-based Detection,71.0,15.258872052091673,1,Widespread Low-Loss Incidents
India,2023,Ransomware,IT,18.53,925373,Insider,Zero-day,AI-based Detection,4.0,20.024357745471285,0,High-Impact Rapid-Response Incidents
India,2015,Malware,Telecommunications,1.52,913114,Insider,Unpatched Software,VPN,15.0,1.664633331654098,1,Widespread Low-Loss Incidents
Australia,2019,DDoS,Healthcare,84.89,163975,Nation-state,Unpatched Software,Firewall,22.0,517.7008690349138,0,High-Impact Rapid-Response Incidents
USA,2016,DDoS,Education,66.73,876135,Insider,Unpatched Software,AI-based Detection,67.0,76.16406147454445,2,Critical High-Impact Incidents
China,2024,Ransomware,Government,72.61,595380,Hacker Group,Zero-day,VPN,10.0,121.95572575498001,0,High-Impact Rapid-Response Incidents
France,2020,DDoS,Government,44.16,840796,Nation-state,Weak Passwords,AI-based Detection,5.0,52.5216580478499,0,High-Impact Rapid-Response Incidents
UK,2022,DDoS,Telecommunications,80.05,484908,Unknown,Weak Passwords,Firewall,42.0,165.08286107880258,2,Critical High-Impact Incidents
Russia,2018,SQL Injection,Telecommunications,13.69,146100,Unknown,Social Engineering,Encryption,22.0,93.70294318959617,1,Widespread Low-Loss Incidents
USA,2021,Phishing,IT,29.02,555756,Insider,Zero-day,AI-based Detection,21.0,52.21716004865444,0,High-Impact Rapid-Response Incidents
India,2017,Ransomware,Retail,69.91,340928,Unknown,Social Engineering,Antivirus,61.0,205.05795945184906,2,Critical High-Impact Incidents
UK,2016,Malware,Telecommunications,3.76,678640,Insider,Zero-day,Encryption,44.0,5.540492750206295,1,Widespread Low-Loss Incidents
Brazil,2020,Phishing,IT,57.43,212798,Insider,Social Engineering,Antivirus,31.0,269.8803560183836,0,High-Impact Rapid-Response Incidents
UK,2019,Ransomware,Retail,63.45,354024,Unknown,Weak Passwords,AI-based Detection,33.0,179.22513727882856,0,High-Impact Rapid-Response Incidents
UK,2016,Man-in-the-Middle,Government,41.34,189354,Insider,Zero-day,Firewall,39.0,218.32123958300326,2,Critical High-Impact Incidents
Australia,2022,Phishing,Education,22.73,648363,Unknown,Zero-day,VPN,47.0,35.05752178949138,2,Critical High-Impact Incidents
Brazil,2017,DDoS,IT,5.88,231114,Insider,Weak Passwords,AI-based Detection,37.0,25.44198966743685,1,Widespread Low-Loss Incidents
India,2017,Ransomware,Banking,9.81,489620,Unknown,Unpatched Software,VPN,43.0,20.03594624402598,1,Widespread Low-Loss Incidents
USA,2015,DDoS,IT,94.14,854005,Unknown,Zero-day,AI-based Detection,14.0,110.23354664199859,0,High-Impact Rapid-Response Incidents
Germany,2017,Ransomware,IT,33.24,550719,Hacker Group,Zero-day,AI-based Detection,60.0,60.3574599750508,2,Critical High-Impact Incidents
Germany,2019,Man-in-the-Middle,Government,75.37,445254,Hacker Group,Unpatched Software,VPN,42.0,169.27416710461893,2,Critical High-Impact Incidents
Japan,2020,Phishing,Education,49.17,218097,Unknown,Zero-day,VPN,32.0,225.45014374338024,0,High-Impact Rapid-Response Incidents
Germany,2017,Malware,Telecommunications,94.87,324790,Insider,Zero-day,VPN,42.0,292.0964315403799,2,Critical High-Impact Incidents
India,2023,SQL Injection,Government,28.71,497965,Unknown,Unpatched Software,VPN,25.0,57.65465444358539,0,High-Impact Rapid-Response Incidents
Australia,2023,SQL Injection,Education,42.5,933030,Insider,Social Engineering,Antivirus,27.0,45.550518204130626,0,High-Impact Rapid-Response Incidents
UK,2015,Man-in-the-Middle,IT,53.07,538338,Nation-state,Zero-day,VPN,1.0,98.58118876988063,0,High-Impact Rapid-Response Incidents
France,2018,Phishing,Retail,99.78,860459,Hacker Group,Social Engineering,AI-based Detection,11.0,115.96136480645795,0,High-Impact Rapid-Response Incidents
UK,2024,DDoS,Healthcare,82.87,276634,Unknown,Unpatched Software,Antivirus,38.0,299.5654908651865,2,Critical High-Impact Incidents
Germany,2018,Man-in-the-Middle,Banking,81.46,316299,Insider,Social Engineering,Firewall,66.0,257.541124062991,2,Critical High-Impact Incidents
Japan,2023,Ransomware,Healthcare,33.66,410385,Unknown,Zero-day,Encryption,71.0,82.02054168646515,2,Critical High-Impact Incidents
Japan,2024,DDoS,Healthcare,99.28,589898,Unknown,Weak Passwords,VPN,59.0,168.3002824217068,2,Critical High-Impact Incidents
France,2016,Man-in-the-Middle,Retail,14.86,63760,Hacker Group,Weak Passwords,VPN,8.0,233.06148055207026,3,Concentrated High-Cost Incidents
USA,2015,Ransomware,Banking,33.75,58037,Insider,Social Engineering,VPN,13.0,581.5255785102607,3,Concentrated High-Cost Incidents
UK,2017,SQL Injection,Government,82.03,994787,Nation-state,Unpatched Software,Encryption,56.0,82.45986326721197,2,Critical High-Impact Incidents
India,2016,Ransomware,Retail,9.53,89719,Unknown,Zero-day,Firewall,68.0,106.22053299746987,1,Widespread Low-Loss Incidents
Germany,2023,SQL Injection,Telecommunications,6.09,590760,Unknown,Unpatched Software,Firewall,32.0,10.30875482429413,1,Widespread Low-Loss Incidents
UK,2022,DDoS,IT,29.05,186700,Insider,Weak Passwords,Antivirus,37.0,155.59721478307446,2,Critical High-Impact Incidents
Japan,2019,SQL Injection,Education,89.48,682430,Hacker Group,Zero-day,VPN,5.0,131.1196752780505,0,High-Impact Rapid-Response Incidents
Australia,2018,SQL Injection,Education,75.2,60868,Insider,Social Engineering,Antivirus,46.0,1235.4603404087534,3,Concentrated High-Cost Incidents
France,2016,SQL Injection,Government,29.33,182916,Nation-state,Unpatched Software,Antivirus,17.0,160.34682586542456,0,High-Impact Rapid-Response Incidents
France,2023,DDoS,Education,65.96,181879,Insider,Weak Passwords,Antivirus,64.0,362.65869066797154,2,Critical High-Impact Incidents
Australia,2017,Phishing,Retail,95.2,715732,Unknown,Weak Passwords,Antivirus,11.0,133.01067997518624,0,High-Impact Rapid-Response Incidents
UK,2023,Malware,Banking,16.02,452477,Hacker Group,Zero-day,Encryption,23.0,35.4051145141079,1,Widespread Low-Loss Incidents
India,2018,Ransomware,Banking,11.19,168881,Insider,Social Engineering,AI-based Detection,5.0,66.25967397161315,1,Widespread Low-Loss Incidents
France,2017,SQL Injection,Healthcare,27.42,94235,Insider,Social Engineering,Antivirus,29.0,290.97469093224385,3,Concentrated High-Cost Incidents
Australia,2015,Ransomware,Telecommunications,17.38,75314,Unknown,Unpatched Software,Encryption,6.0,230.76718803940835,3,Concentrated High-Cost Incidents
Russia,2019,Man-in-the-Middle,Retail,99.53,515797,Nation-state,Social Engineering,Firewall,46.0,192.96351083856632,2,Critical High-Impact Incidents
Russia,2024,DDoS,Telecommunications,55.05,363906,Insider,Weak Passwords,Antivirus,31.0,151.27532934329196,0,High-Impact Rapid-Response Incidents
UK,2022,DDoS,Education,79.6,446296,Unknown,Zero-day,AI-based Detection,4.0,178.35696488429204,0,High-Impact Rapid-Response Incidents
Russia,2017,Ransomware,Telecommunications,65.18,329972,Nation-state,Unpatched Software,Firewall,48.0,197.53191179857689,2,Critical High-Impact Incidents
China,2017,Ransomware,Education,25.73,639190,Insider,Social Engineering,Encryption,33.0,40.25407155931726,0,High-Impact Rapid-Response Incidents
USA,2022,Ransomware,Government,33.71,135105,Unknown,Unpatched Software,VPN,48.0,249.5096406498649,3,Concentrated High-Cost Incidents
China,2015,DDoS,Education,94.74,103079,Nation-state,Social Engineering,Antivirus,57.0,919.1008837881625,3,Concentrated High-Cost Incidents
France,2018,DDoS,IT,75.88,822364,Unknown,Zero-day,VPN,71.0,92.27057604661682,2,Critical High-Impact Incidents
India,2021,SQL Injection,Government,75.25,597509,Nation-state,Social Engineering,Firewall,20.0,125.93952559710398,0,High-Impact Rapid-Response Incidents
Brazil,2023,Man-in-the-Middle,Telecommunications,90.37,705678,Hacker Group,Zero-day,Antivirus,57.0,128.06124039576125,2,Critical High-Impact Incidents
France,2020,Phishing,Retail,14.45,309967,Unknown,Zero-day,Firewall,26.0,46.617865772808074,1,Widespread Low-Loss Incidents
France,2022,Ransomware,Banking,54.47,604250,Unknown,Social Engineering,AI-based Detection,63.0,90.14480761274307,2,Critical High-Impact Incidents
India,2024,Ransomware,IT,33.66,131900,Unknown,Unpatched Software,Antivirus,21.0,255.19332827899925,3,Concentrated High-Cost Incidents
Australia,2022,Ransomware,Government,84.51,305494,Insider,Social Engineering,Firewall,19.0,276.633910976975,0,High-Impact Rapid-Response Incidents
Brazil,2023,Malware,Healthcare,61.56,907121,Unknown,Social Engineering,VPN,33.0,67.86305244835033,0,High-Impact Rapid-Response Incidents
India,2024,Phishing,Banking,23.32,879162,Unknown,Zero-day,VPN,38.0,26.52525928099713,1,Widespread Low-Loss Incidents
Brazil,2017,Man-in-the-Middle,Telecommunications,43.71,57237,Unknown,Unpatched Software,Firewall,52.0,763.6668588500446,3,Concentrated High-Cost Incidents
Australia,2016,Phishing,Telecommunications,2.84,880127,Insider,Social Engineering,Antivirus,67.0,3.226807040347586,1,Widespread Low-Loss Incidents
China,2017,Phishing,IT,71.4,698847,Insider,Zero-day,AI-based Detection,17.0,102.16828576211961,0,High-Impact Rapid-Response Incidents
India,2022,Man-in-the-Middle,Banking,90.87,928859,Unknown,Unpatched Software,Firewall,32.0,97.82970289355005,0,High-Impact Rapid-Response Incidents
India,2017,SQL Injection,IT,78.94,858565,Unknown,Weak Passwords,Encryption,29.0,91.94411605411355,0,High-Impact Rapid-Response Incidents
China,2022,Malware,Telecommunications,34.33,571265,Unknown,Unpatched Software,Firewall,17.0,60.09470210847855,0,High-Impact Rapid-Response Incidents
Russia,2015,DDoS,Banking,40.64,259321,Nation-state,Social Engineering,AI-based Detection,62.0,156.71696468855203,2,Critical High-Impact Incidents
Brazil,2022,Man-in-the-Middle,Banking,59.43,121504,Insider,Weak Passwords,AI-based Detection,32.0,489.11969976297075,3,Concentrated High-Cost Incidents
France,2018,DDoS,Banking,50.75,670630,Nation-state,Zero-day,Antivirus,4.0,75.6751114623563,0,High-Impact Rapid-Response Incidents
China,2024,Ransomware,Banking,72.18,277175,Insider,Social Engineering,Firewall,72.0,260.4130964192297,2,Critical High-Impact Incidents
USA,2016,Man-in-the-Middle,Retail,23.35,952463,Nation-state,Unpatched Software,Antivirus,26.0,24.51538799932386,0,High-Impact Rapid-Response Incidents
UK,2020,DDoS,Government,78.32,624619,Unknown,Weak Passwords,AI-based Detection,67.0,125.38843679106783,2,Critical High-Impact Incidents
China,2018,Phishing,Healthcare,20.22,363934,Insider,Weak Passwords,Firewall,24.0,55.55952452917287,0,High-Impact Rapid-Response Incidents
Japan,2017,SQL Injection,IT,33.15,44750,Unknown,Unpatched Software,Firewall,22.0,740.7821229050279,3,Concentrated High-Cost Incidents
UK,2021,DDoS,Banking,8.82,736601,Nation-state,Zero-day,AI-based Detection,26.0,11.973918037037691,1,Widespread Low-Loss Incidents
Japan,2018,Ransomware,Education,43.32,42876,Unknown,Unpatched Software,Antivirus,40.0,1010.3554436048139,3,Concentrated High-Cost Incidents
Australia,2018,DDoS,Healthcare,90.4,536357,Nation-state,Weak Passwords,Encryption,55.0,168.5444582619412,2,Critical High-Impact Incidents
